,Germplasm,Rep,Row,Range,Plot,yld1,yld2,yld3,tot22,GNDVI_131,NDRE_131,NDVI_131,GNDVI_145,NDRE_145,NDVI_145,GNDVI_154,NDRE_154,NDVI_154,GNDVI_159,NDRE_159,NDVI_159,GNDVI_162,NDRE_162,NDVI_162,GNDVI_164,NDRE_164,NDVI_164,GNDVI_175,NDRE_175,NDVI_175,GNDVI_178,NDRE_178,NDVI_178,GNDVI_181,NDRE_181,NDVI_181,GNDVI_187,NDRE_187,NDVI_187,GNDVI_189,NDRE_189,NDVI_189,GNDVI_192,NDRE_192,NDVI_192,GNDVI_201,NDRE_201,NDVI_201,GNDVI_203,NDRE_203,NDVI_203,GNDVI_210,NDRE_210,NDVI_210,GNDVI_215,NDRE_215,NDVI_215,GNDVI_223,NDRE_223,NDVI_223,GNDVI_236,NDRE_236,NDVI_236,GNDVI_238,NDRE_238,NDVI_238,GNDVI_243,NDRE_243,NDVI_243,GNDVI_259,NDRE_259,NDVI_259,GNDVI_263,NDRE_263,NDVI_263
21,GUARDSMAN_II,1,1,16,133,1.89,0.65,0.45,2.99,0.218559657,0.320798989,0.471842326,0.226912499,0.361199329,0.542683923,0.164007512,0.383528299,0.518366967,-0.010712684,0.422070853,0.487864626,0.016472835,0.354614287,0.34016268,0.006668848,0.235623492,0.237311646,0.264367986,0.319623195,0.516678475,0.163990017,0.252884922,0.495775929,0.236523071,0.304071734,0.522643653,0.12958969,0.261162071,0.42648622,0.226100572,0.394149843,0.419800313,0.232451335,0.37761656,0.445041416,0.076494692,0.322979997,0.303829983,0.047645536,0.366684567,0.382881858,0.090920799,0.430845497,0.425686563,0.161303679,0.443871592,0.434850734,0.274112534,0.306177657,0.513730498,0.14524826,0.231573677,0.420447681,0.18487519,0.303174035,0.428508699,0.159835332,0.333670582,0.440485187,0.175967227,0.217675023,0.345091061,0.114071447,0.272865595,0.349004546
22,SW315_LH,1,1,15,134,1.76,0.56,0.42,2.74,0.228195198,0.313966699,0.464453795,0.233233388,0.366453808,0.530623249,0.152917754,0.374670579,0.492595773,-0.00517386,0.375935983,0.471451053,0.006225688,0.352022938,0.335284448,-0.02123838,0.240332714,0.269872841,0.187381314,0.320221243,0.444247004,0.102855828,0.299031637,0.427824834,0.17709161,0.30034159,0.466977072,0.102243033,0.28858702,0.380616425,0.210269325,0.358913107,0.391461276,0.20807334,0.368651628,0.409091575,0.064551713,0.283885904,0.277507449,0.046675601,0.370395132,0.392755518,0.075838869,0.442821721,0.424819566,0.12669878,0.440550014,0.41599225,0.204869041,0.315004067,0.449713304,0.126072959,0.218577154,0.404701424,0.153556191,0.314122668,0.388160478,0.143293137,0.312437304,0.410353292,0.181858425,0.227275175,0.331581006,0.108891554,0.266619852,0.309335912
23,SEEDWAY_9558_SBR,1,1,14,135,1.88,0.6,0.47,2.95,0.24572579,0.297085261,0.510596798,0.232158554,0.330937715,0.533894482,0.167105725,0.374235644,0.503002083,-0.004000666,0.417998558,0.475867362,0.015946561,0.344621934,0.349111979,-0.009427133,0.249734375,0.246772766,0.259410347,0.308746413,0.504865563,0.136063111,0.25697667,0.458851244,0.218380377,0.28370227,0.498066202,0.111414225,0.334462126,0.399269025,0.212163631,0.336025394,0.403314732,0.217078334,0.338286266,0.422654521,0.059826144,0.250315995,0.261342504,0.050901384,0.378845432,0.376554618,0.08092651,0.447261068,0.418808926,0.156588568,0.443955754,0.423950333,0.243150958,0.278232659,0.477682769,0.126434945,0.228674028,0.413556869,0.155437939,0.29453947,0.404306468,0.147734467,0.309215522,0.427091165,0.183891268,0.223137286,0.34103993,0.107340173,0.263489653,0.321648551
24,FSG_415BR,1,1,13,136,1.93,0.65,0.55,3.13,0.239434355,0.297652873,0.514260345,0.24035546,0.33052521,0.551465699,0.168165326,0.380307534,0.527992736,-0.002069982,0.393599997,0.458211144,0.027771604,0.326414407,0.297215773,0.006804157,0.272937799,0.222370078,0.288458548,0.354358072,0.545332921,0.142734045,0.237616372,0.490095244,0.25094826,0.333817076,0.53787755,0.14398865,0.284196727,0.437338387,0.244938452,0.395629807,0.442717997,0.255339168,0.396358828,0.456188183,0.081728746,0.210991454,0.266379769,0.05615671,0.356778622,0.375393277,0.105226291,0.414359327,0.423894943,0.185468285,0.447141388,0.431076799,0.269559172,0.317358272,0.507632756,0.147322827,0.243548459,0.450424014,0.175943343,0.351334502,0.442411295,0.186524182,0.38936486,0.488436975,0.204101329,0.265444984,0.385499684,0.123854522,0.289658141,0.368447912
25,NY1615,1,1,12,137,2.14,0.72,0.54,3.4,0.221444508,0.316423002,0.481528247,0.23103791,0.300025501,0.537484673,0.16339301,0.383197844,0.52653229,-0.01354855,0.431574639,0.449963601,0.021830474,0.334117978,0.331378656,8.54E-05,0.298255952,0.227015877,0.285740148,0.327759579,0.53888902,0.140600894,0.245048507,0.491572378,0.254463004,0.310290677,0.544102053,0.153986201,0.264953407,0.445751794,0.274607018,0.387209168,0.487677028,0.273417421,0.384792042,0.491108334,0.105470825,0.261456888,0.282583426,0.052484902,0.367312943,0.381483011,0.079397231,0.433023451,0.41157351,0.173278146,0.445165714,0.431974275,0.258851597,0.285937236,0.500522154,0.142593183,0.226366304,0.436188607,0.169264382,0.316055231,0.435256121,0.189565636,0.370005975,0.478857735,0.218712306,0.259019853,0.372474865,0.145152317,0.275975088,0.365266262
26,REBOUND_6XT,1,1,11,138,1.74,0.7,0.47,2.9,0.23125122,0.3005052,0.497840535,0.247091153,0.339675625,0.546188494,0.175649917,0.395387943,0.530982937,-0.016650653,0.463582895,0.384849576,0.046076268,0.32438009,0.314576677,0.040295064,0.320660815,0.237325852,0.309045799,0.392991139,0.565845745,0.148189067,0.279002177,0.502037324,0.256339041,0.339321991,0.548444515,0.156275876,0.280649296,0.450480656,0.292154943,0.418917102,0.496101712,0.278641018,0.406600142,0.484562618,0.116690351,0.287866701,0.283972188,0.059059341,0.338960746,0.388283539,0.119292575,0.365581957,0.4113943,0.208636741,0.452020521,0.439942196,0.298571902,0.359232421,0.527326982,0.166774931,0.267086556,0.451868947,0.189437588,0.341355768,0.455177734,0.190330666,0.35423309,0.459632291,0.188536048,0.233101026,0.348424806,0.122229466,0.254533143,0.35003623
27,NY0465,1,1,10,139,1.8,0.69,0.53,3.02,0.218164057,0.328005645,0.477542409,0.221338183,0.306518947,0.52767322,0.153025011,0.379156052,0.528657507,-0.029263073,0.452946678,0.367123327,0.00618324,0.370244507,0.346885048,-0.009214923,0.308705257,0.235885167,0.236274558,0.323722138,0.49849249,0.108479655,0.293793326,0.448930213,0.219437545,0.275977162,0.518104609,0.120152488,0.262085148,0.428042366,0.23700839,0.374441756,0.450845829,0.239728645,0.366649711,0.456625052,0.10883151,0.298362026,0.318417923,0.050751249,0.356002431,0.395356096,0.035542113,0.441444266,0.391978894,0.13475309,0.442799967,0.417604307,0.234224029,0.313596867,0.482878529,0.151634305,0.282225171,0.452606367,0.186340958,0.323357232,0.464491051,0.17614792,0.328452762,0.467928045,0.201127776,0.269560585,0.354286173,0.121360286,0.259281498,0.367209716
28,WL_349HQ,1,1,9,140,1.74,0.67,0.49,2.9,0.236553483,0.301309802,0.50542415,0.245815369,0.31724118,0.544590321,0.158573095,0.39339917,0.518300654,-0.026739434,0.477449307,0.362195529,0.028024526,0.336793301,0.329940926,0.028839725,0.315785221,0.229691841,0.283112518,0.384149672,0.551154658,0.14238189,0.24712982,0.484907174,0.238294455,0.299183086,0.535822695,0.135676864,0.238571967,0.43419417,0.24633641,0.386621358,0.458758296,0.238052332,0.377386612,0.448672854,0.099981028,0.303101124,0.319179636,0.060779272,0.328838089,0.395000141,0.076807817,0.390521834,0.396384105,0.179800013,0.444013051,0.433871235,0.268022229,0.345657548,0.517476413,0.149819262,0.274578266,0.431837452,0.21212404,0.326234525,0.466003741,0.170425909,0.296699621,0.443587961,0.175319547,0.226338448,0.327793687,0.109647054,0.268416039,0.353062487
29,FSG_421LH,1,1,8,141,1.62,0.56,0.46,2.63,0.24556976,0.281298,0.497810176,0.259323397,0.368366894,0.539508086,0.161106684,0.398232591,0.523261454,-0.021969105,0.43712382,0.309781574,0.021806244,0.275053979,0.29564126,0.009388878,0.295591933,0.206319086,0.260474385,0.395556483,0.518381828,0.149334354,0.223640388,0.460522616,0.240549699,0.301295116,0.524993043,0.130714812,0.236024053,0.40692977,0.227642897,0.409201628,0.42269691,0.227108998,0.40185905,0.421203453,0.098393156,0.322842225,0.305522014,0.060417976,0.328791111,0.393999557,0.052161699,0.418010286,0.410001512,0.158749415,0.450865962,0.429501171,0.218721583,0.320521943,0.470322536,0.137916502,0.245942883,0.380856047,0.200478658,0.316408696,0.446383364,0.157522729,0.30666261,0.429266501,0.183692814,0.229344432,0.326105307,0.118901251,0.253941291,0.354461682
30,SW3407,1,1,7,142,1.59,0.57,0.49,2.66,0.252125007,0.278943619,0.510008399,0.272188481,0.379658316,0.552833492,0.154607581,0.390733585,0.527709715,-0.020451613,0.454780593,0.349227585,0.030307842,0.26150636,0.306665216,0.033463498,0.310390593,0.223252213,0.289346434,0.424051685,0.55150751,0.175204497,0.258622097,0.4823724,0.242710495,0.316574193,0.523837898,0.140414439,0.279109706,0.412392441,0.233199109,0.392689574,0.434691942,0.222996828,0.389647063,0.422206279,0.104030744,0.315820379,0.346363013,0.061282481,0.321226362,0.402176884,0.098486559,0.342674656,0.443022176,0.190397304,0.445602394,0.43451807,0.258530524,0.358676075,0.502947765,0.186349096,0.286657201,0.428385707,0.227018649,0.327246466,0.474827742,0.176738759,0.315655737,0.447202834,0.183878866,0.229600745,0.340745705,0.129244378,0.263948962,0.363573698
31,SW5606,1,1,6,143,1.64,0.54,0.47,2.65,0.284973453,0.265224913,0.552365765,0.28290402,0.429062946,0.548564426,0.180921142,0.434062306,0.533540862,-0.017677191,0.474700346,0.353898982,0.032246662,0.255700337,0.304121539,0.034915603,0.316432574,0.214048519,0.297465073,0.440104298,0.560451101,0.204324067,0.286128978,0.503468581,0.264806677,0.334624851,0.548778288,0.148405621,0.320797871,0.411990657,0.231634836,0.398931212,0.423486632,0.235433508,0.395928133,0.427336163,0.111616934,0.343102387,0.349594896,0.06456379,0.313270037,0.38964864,0.111342771,0.327414545,0.429507002,0.184322758,0.453093478,0.44041828,0.260912246,0.363881773,0.504783497,0.196086668,0.284098498,0.434019253,0.221685477,0.33905332,0.477457051,0.181649096,0.309031911,0.460773219,0.19495657,0.225547218,0.350123184,0.140907262,0.271155981,0.351325056
32,EZRA,1,1,5,144,1.89,0.6,0.55,3.04,0.240865152,0.293295027,0.511715124,0.271440096,0.376496089,0.561182945,0.179567032,0.43040138,0.529994116,-0.026007391,0.494640822,0.361441247,0.009138283,0.287328379,0.325584094,0.00309065,0.327096981,0.211242733,0.250809145,0.328900171,0.534309365,0.151690323,0.252000646,0.487509641,0.221740973,0.264441876,0.51476568,0.138640311,0.373932747,0.412202383,0.239203957,0.380992091,0.443470893,0.224146844,0.378832028,0.429567924,0.112872036,0.309970803,0.329783185,0.061178098,0.326777753,0.392062944,0.073373734,0.360701475,0.434757088,0.170053584,0.443540654,0.427281975,0.235401749,0.306185832,0.494791439,0.204944637,0.28559409,0.465428132,0.217701679,0.341381673,0.497257327,0.187859448,0.295463172,0.477723583,0.203847982,0.257970227,0.373700192,0.133105352,0.269038469,0.354138815
33,SW5210,1,1,4,145,2.11,0.71,0.48,3.3,0.303045649,0.270332171,0.56550414,0.303772072,0.461016595,0.559964722,0.222495135,0.471481004,0.535942624,-0.021993153,0.46526861,0.337339983,0.016504012,0.331919777,0.311861657,0.022111091,0.298328924,0.209979298,0.277554943,0.384683075,0.547105958,0.149456833,0.304155198,0.480265731,0.259654972,0.290396019,0.542100971,0.176736879,0.27706401,0.435833755,0.267076777,0.406435349,0.473835335,0.263389768,0.402673235,0.472262553,0.129444513,0.31819698,0.329218875,0.076857877,0.29957351,0.393098223,0.091399334,0.354587268,0.417579719,0.167004746,0.442618741,0.424277525,0.251318097,0.337104022,0.486042457,0.257423503,0.339363185,0.472719736,0.239018703,0.381976184,0.477620109,0.211514873,0.309345593,0.477495654,0.215797827,0.249862548,0.361322666,0.146101253,0.272370446,0.327363186
34,PERSIST_III,1,1,3,146,2.25,0.79,0.54,3.58,0.277681453,0.262833361,0.548274233,0.304168915,0.44319407,0.570806247,0.226649965,0.478339456,0.538775186,-0.012891915,0.476551198,0.333819822,0.006965221,0.459574584,0.332105283,0.022142482,0.334592238,0.208996716,0.256221907,0.359424622,0.547556221,0.064680106,0.408886625,0.436868194,0.247084097,0.28251522,0.54403177,0.195679435,0.225431245,0.47079099,0.293461516,0.41860027,0.5056551,0.278335457,0.435765317,0.485162659,0.155312939,0.322956219,0.330612255,0.082774818,0.298569537,0.397030566,0.09585984,0.33354405,0.414202464,0.180836078,0.447259867,0.422932032,0.241861013,0.328121831,0.480257459,0.269443666,0.376727356,0.49067835,0.234301216,0.401086172,0.48104269,0.20961756,0.312232768,0.480196957,0.209587409,0.260577419,0.398088427,0.139466982,0.289956149,0.364648076
35,ALGONQUIN,1,1,2,147,1.97,0.61,0.47,3.05,0.267536803,0.257711537,0.542044915,0.279424483,0.38153586,0.562323741,0.227456557,0.488026017,0.530257303,-0.00969047,0.49422124,0.320557724,-0.017827389,0.574338911,0.339251218,0.013059535,0.338187284,0.206792672,0.200137386,0.307194703,0.492448802,-0.002057902,0.468219279,0.369927211,0.213607496,0.270907756,0.515887055,0.189159636,0.253715046,0.460621606,0.25656878,0.40583341,0.470441878,0.250589499,0.426313696,0.457641658,0.138198248,0.316284348,0.333339812,0.09352553,0.289810485,0.403048079,0.087525563,0.358911101,0.403116261,0.170331441,0.446280358,0.415180642,0.217214755,0.308878347,0.458730629,0.25275106,0.36737589,0.477733295,0.222739439,0.404092826,0.475676065,0.193166605,0.31640744,0.492974286,0.186380532,0.250751782,0.411777412,0.119522957,0.32746771,0.376346815
36,ONEIDA_ULTRA,1,1,1,148,1.74,0.5,0.48,2.71,0.235349968,0.323960297,0.498462833,0.267673886,0.349356139,0.554208948,0.216454792,0.460913283,0.526785936,-0.009056618,0.488021059,0.328015637,-0.029391992,0.596919822,0.365381107,0.012509926,0.340725271,0.21803171,0.187209991,0.314908036,0.472717263,0.011066644,0.474085239,0.374581508,0.178916133,0.309279423,0.471649947,0.186232588,0.276056846,0.43622941,0.214308019,0.37500112,0.429975021,0.204972338,0.414657841,0.41588744,0.093748525,0.291320197,0.329096504,0.091860757,0.287893905,0.400591554,0.083070143,0.345509532,0.413731262,0.178198522,0.430128755,0.424239131,0.209132751,0.304267162,0.448843312,0.248731971,0.36449326,0.474232049,0.231685864,0.401218783,0.470932595,0.2150835,0.310306256,0.471606525,0.178219267,0.225139783,0.386537229,0.117653477,0.344380019,0.367991991
37,EZRA,2,2,36,213,1.72,0.73,0.62,3.07,0.262763014,0.30548919,0.483134003,0.254803994,0.300734633,0.556006818,0.198541227,0.478113958,0.522214112,0.008739715,0.48323342,0.427130127,0.027075892,0.500110106,0.469636701,0.05514853,0.333067228,0.434340706,0.268297626,0.346490594,0.512290514,0.191370897,0.292483896,0.475512014,0.294577527,0.377563964,0.555269818,0.249773058,0.245859121,0.531266244,0.289570783,0.407103707,0.481748587,0.300304859,0.412795651,0.493356318,0.231479781,0.33312092,0.362374082,0.082975617,0.264585147,0.396707455,0.048524449,0.446199522,0.39636222,0.164174547,0.446642599,0.423041762,0.284440903,0.307757168,0.490540748,0.167123392,0.256423027,0.410436577,0.234105112,0.283136,0.49679998,0.231161295,0.402088616,0.479777116,0.214861365,0.325738282,0.384825936,0.143827669,0.301942286,0.398375851
38,NY0465,2,2,35,214,1.57,0.77,0.74,3.08,0.219300969,0.335290015,0.454658855,0.256342491,0.295600787,0.555905211,0.180713502,0.461702845,0.517695403,0.016179501,0.484014439,0.433640907,0.023061568,0.504568675,0.468855452,0.053296805,0.317490241,0.440469224,0.233351314,0.354118092,0.496708066,0.170430655,0.335446018,0.463900388,0.270407304,0.397559095,0.525595144,0.236154732,0.248704494,0.509033131,0.29072906,0.416985152,0.481829065,0.28613954,0.410708223,0.472812669,0.214969055,0.330863987,0.341553257,0.072746239,0.289999677,0.398910593,0.014357454,0.473765324,0.39098896,0.135354891,0.442301638,0.41412678,0.26631232,0.314652382,0.488390259,0.175307776,0.258960019,0.428896493,0.240923301,0.321629488,0.493246244,0.221858581,0.381556349,0.466504849,0.214488172,0.330643966,0.383095793,0.137531121,0.295483912,0.405298171
39,SW3407,2,2,34,215,1.71,0.81,0.56,3.08,0.293192798,0.327135257,0.517589506,0.266799052,0.337238086,0.562763798,0.204693527,0.472741918,0.522661928,0.031640508,0.453826192,0.399350659,0.070671877,0.484757386,0.438071991,0.111599372,0.30586484,0.400929418,0.323190806,0.4548835,0.559516141,0.230099575,0.23996811,0.515393442,0.332189183,0.473894208,0.57632997,0.228448422,0.274945,0.48963,0.28494269,0.396270901,0.46464951,0.297938448,0.383194025,0.47416797,0.202772898,0.308605144,0.32511156,0.084692536,0.28183765,0.37182551,0.04901937,0.462110783,0.359209289,0.180566947,0.450295801,0.406685826,0.309405197,0.359506641,0.519561327,0.186198796,0.274178484,0.431704581,0.250151745,0.377042881,0.515463709,0.218618754,0.394940627,0.472547262,0.216511034,0.307685402,0.371535221,0.144932914,0.308150078,0.401358301
40,PLUSS_III,2,2,33,216,1.77,0.8,0.6,3.17,0.300151729,0.302760212,0.529819082,0.272394382,0.309473865,0.57966413,0.187223842,0.466804065,0.527985624,0.016765861,0.464199015,0.424405702,0.053624338,0.481653288,0.451538435,0.102382499,0.307615349,0.419083591,0.330524604,0.426723018,0.578317072,0.203728877,0.267856157,0.503285192,0.324009584,0.439536224,0.576382491,0.213350234,0.265261445,0.471767626,0.276676181,0.366271484,0.470592017,0.286608824,0.352925477,0.471895913,0.184176133,0.298581377,0.312255287,0.077429624,0.273094345,0.371277381,0.056338622,0.436395962,0.386282687,0.189269903,0.446497737,0.421343413,0.300804423,0.34256175,0.517925303,0.178464451,0.278924644,0.426133997,0.236958143,0.364397078,0.497604002,0.211861312,0.355298292,0.472149503,0.205261855,0.317701946,0.385451775,0.133327318,0.319680575,0.394271932
41,NY1517,2,2,32,217,2,0.72,0.61,3.33,0.297594439,0.305748727,0.508545611,0.261261983,0.296657286,0.556832884,0.18692735,0.456218533,0.517421561,0.01591614,0.472058908,0.424748293,0.023263014,0.513201971,0.470781249,0.057292637,0.320388797,0.431869577,0.285608841,0.373006615,0.525880887,0.173355508,0.294925972,0.486565337,0.303872893,0.380458235,0.556403989,0.189739514,0.303977344,0.451212967,0.267445124,0.36064232,0.469476464,0.284071973,0.351457034,0.485194372,0.195584149,0.333422478,0.328499115,0.103091049,0.233543824,0.418604124,0.046986489,0.439274969,0.390743912,0.139518444,0.442704459,0.399616185,0.271618985,0.325917449,0.491279846,0.171252899,0.247664703,0.430159633,0.225543085,0.35302903,0.498572574,0.208717584,0.344349849,0.473370548,0.219498472,0.33229256,0.397102957,0.139428996,0.312106249,0.402378316
42,NY1614,2,2,31,218,1.61,0.94,0.63,3.17,0.252982064,0.312032819,0.456311545,0.251983078,0.294103774,0.547688547,0.167384675,0.459093078,0.529823005,0.012495551,0.472043239,0.432005894,0.014651066,0.506541419,0.474979038,0.05559898,0.31080314,0.435627107,0.269591589,0.332500759,0.515335124,0.156462935,0.269741345,0.465435427,0.276349853,0.329493251,0.532488301,0.185364836,0.278910797,0.448733864,0.279017346,0.357834646,0.493057649,0.274174131,0.351920802,0.480426591,0.211083068,0.34994252,0.341669261,0.091819394,0.257952898,0.418395995,0.081810155,0.419028723,0.399848726,0.178513313,0.428971526,0.411653384,0.277488392,0.312466722,0.50840372,0.186310931,0.246695962,0.446301402,0.251069046,0.380178379,0.50958939,0.227183378,0.346631515,0.45927072,0.204953757,0.282373459,0.355195404,0.135536675,0.29426019,0.383950431
43,NY2003,2,2,30,219,1.62,0.95,0.68,3.26,0.235043898,0.343026603,0.459261682,0.246867525,0.304415332,0.527782622,0.173559598,0.498389549,0.519995706,0.022027847,0.460516761,0.423867128,0.025139001,0.504860165,0.455026522,0.056670013,0.31268862,0.424594552,0.272236131,0.383588322,0.511638422,0.17623668,0.344028724,0.482261188,0.287351416,0.371849408,0.552294818,0.208623236,0.288726378,0.444871267,0.299033573,0.418621306,0.505338505,0.297239902,0.415906384,0.505838289,0.232724174,0.381233452,0.366597379,0.103200274,0.253875589,0.427029999,0.090499794,0.414774184,0.396320613,0.180765,0.435246303,0.409462315,0.284012205,0.324592426,0.515150353,0.207564687,0.258057279,0.447801626,0.27063441,0.418869348,0.511035751,0.233119118,0.380816279,0.458034712,0.196439833,0.276581144,0.352935448,0.136010636,0.302227101,0.359677156
44,ONEIDA_VR,2,2,29,220,1.48,0.92,0.69,3.09,0.180192685,0.36503962,0.408238874,0.233231802,0.290940886,0.540133317,0.149685679,0.464023981,0.541770749,0.018731477,0.468422178,0.439025444,0.019551294,0.507529615,0.471468204,0.059668588,0.294378508,0.430979063,0.265837148,0.330288854,0.530608189,0.175947307,0.28844569,0.484138474,0.283354114,0.325537213,0.553913892,0.225927169,0.260669596,0.484919887,0.316449634,0.407824621,0.543923762,0.312195651,0.39199076,0.5266324,0.230771089,0.359196868,0.372088555,0.079810405,0.273919968,0.406066932,0.06605637,0.41673702,0.380950369,0.203211179,0.428415045,0.426888205,0.292389482,0.301899642,0.542849331,0.206064269,0.253439659,0.474796967,0.267586846,0.392685638,0.524572702,0.230652944,0.370311632,0.483714911,0.208648243,0.282194425,0.396246842,0.151717702,0.312193229,0.414459461
45,WL_349HQ,2,2,28,221,1.45,1.12,0.7,3.26,0.19174425,0.340064595,0.421830541,0.245704432,0.291221394,0.54488637,0.171161604,0.4791481,0.514165673,0.042489626,0.425608167,0.424934873,0.068878394,0.43940679,0.440234057,0.120739807,0.298526941,0.411080089,0.335210121,0.425934043,0.583054456,0.233126822,0.3910971,0.525537842,0.327427128,0.401330618,0.589218205,0.266808375,0.367974117,0.517084946,0.355204278,0.460030946,0.569041992,0.351412896,0.441687547,0.552237936,0.234876727,0.363776647,0.374192316,0.07368488,0.275386053,0.39225972,0.095328789,0.363266018,0.356411329,0.231848456,0.442487473,0.445307455,0.322534518,0.351990629,0.561464144,0.216723211,0.263286092,0.454685307,0.278228204,0.417410936,0.510576059,0.239389443,0.383960674,0.471479101,0.17868104,0.242813035,0.350037156,0.133276247,0.310862474,0.390357012
46,FSG_421LH,2,2,27,222,1.8,1.14,0.64,3.58,0.273365751,0.317316979,0.486956705,0.283839878,0.372090402,0.548013979,0.183804373,0.497641175,0.528800471,0.032095666,0.431598415,0.417781106,0.03648125,0.479919742,0.440632805,0.083001429,0.287706789,0.399129249,0.323603433,0.444081171,0.565439602,0.228997791,0.417745181,0.510674988,0.315731986,0.400692535,0.571214684,0.262242691,0.377726779,0.503529483,0.350932751,0.460722389,0.554831528,0.349772004,0.451416843,0.534916384,0.233673364,0.396440644,0.396566083,0.075809937,0.283612149,0.405444054,0.023441595,0.443970603,0.341912954,0.17797548,0.438909345,0.40643078,0.289428228,0.323395398,0.516635041,0.204981343,0.266857433,0.435982932,0.253642674,0.421181743,0.497617559,0.22955913,0.377908497,0.449491624,0.199160035,0.247292537,0.329941994,0.150555479,0.316964109,0.347475134
47,SEEDWAY_9558_SBR,2,2,26,223,1.59,1.02,0.68,3.29,0.222938229,0.31041092,0.44761634,0.245806216,0.301153745,0.532878019,0.173421517,0.483008126,0.510378958,0.027618815,0.458943589,0.433840623,0.024908214,0.487710713,0.452395348,0.067702379,0.298529566,0.418768654,0.282049764,0.357620821,0.535546548,0.191398762,0.320737541,0.489721745,0.281759368,0.321749617,0.553491583,0.227547061,0.308873797,0.492358957,0.31790496,0.370877294,0.516240568,0.324588574,0.385757622,0.521428339,0.206724342,0.372447646,0.359420706,0.075199488,0.293839932,0.392495191,0.028232864,0.471721938,0.346032574,0.179609113,0.43421183,0.412251531,0.289461691,0.299382369,0.522918648,0.206066954,0.23799756,0.452357443,0.243867463,0.367398148,0.500740159,0.226191951,0.363981688,0.46182202,0.191025286,0.246585461,0.35455738,0.146194744,0.321380519,0.404424958
48,ALGONQUIN,2,2,25,224,0.96,0.78,0.68,2.43,0.062072749,0.438947614,0.357335476,0.17931514,0.312362851,0.466839094,0.160440403,0.470000954,0.502803142,0.033016737,0.458975541,0.422468277,0.023590007,0.494061874,0.449307938,0.057727779,0.291817906,0.406987096,0.196427725,0.351902521,0.466614426,0.128889651,0.311164182,0.428584688,0.218488662,0.327679107,0.48000319,0.211677359,0.314912093,0.464412687,0.30190494,0.385810194,0.504176712,0.292272935,0.398902488,0.482683681,0.179966014,0.340701569,0.33231276,0.065195082,0.307318498,0.41559524,0.031933348,0.452823933,0.360687994,0.156837676,0.432048594,0.399980994,0.246482252,0.317620968,0.47368385,0.214466378,0.232461568,0.444813771,0.242104831,0.352217481,0.491405425,0.221112797,0.364487384,0.451842216,0.175065742,0.248482974,0.342483973,0.131785113,0.306991143,0.374937297
49,AMERISTAND_427_TQ,2,2,24,225,2.02,0.8,0.7,3.52,0.310486466,0.307044078,0.576746631,0.280443077,0.325326753,0.570106363,0.20058548,0.485465388,0.514081548,0.039353504,0.446977874,0.4164515,0.073796561,0.447069511,0.439990279,0.122426372,0.298535447,0.380194014,0.367301882,0.480695774,0.591128973,0.245613149,0.383851185,0.539135137,0.330216932,0.391617742,0.596242579,0.264898743,0.342022931,0.512775058,0.370802924,0.483932015,0.566380443,0.375221002,0.4648611,0.556381184,0.229285265,0.382809103,0.392055792,0.071803458,0.286090539,0.394721644,0.072185879,0.40537911,0.356913611,0.261912999,0.440807401,0.447541443,0.316325841,0.343886722,0.558282493,0.227727817,0.273266348,0.457794143,0.282125921,0.372656341,0.511840133,0.249207637,0.387655078,0.480802658,0.18329707,0.22423378,0.322060425,0.140442957,0.305453499,0.371282317
50,REBOUND_6XT,2,2,23,226,1.7,0.72,0.58,2.99,0.290403567,0.332843781,0.54966287,0.282443786,0.347604778,0.55439221,0.168112341,0.431702686,0.506724393,0.04432783,0.446370245,0.41931269,0.088977378,0.427898331,0.422526054,0.136036876,0.32642684,0.37513206,0.358846075,0.510124303,0.588941784,0.211917182,0.389014136,0.531822352,0.301437842,0.388024439,0.56653965,0.261852644,0.313873921,0.504633133,0.345957825,0.458907381,0.535698634,0.345980572,0.453800262,0.524570509,0.203302916,0.33513612,0.347383804,0.073612931,0.277191694,0.389644933,0.087487406,0.362189016,0.335184534,0.235666527,0.455053031,0.435299869,0.302858617,0.364599048,0.537682239,0.213994998,0.267565643,0.435768863,0.258954244,0.343597557,0.48077487,0.224576976,0.358424027,0.444399787,0.162032646,0.205427269,0.303396912,0.11800738,0.321867969,0.386211412
51,SW4602Z,2,2,22,227,1.68,0.77,0.49,2.94,0.285593717,0.328076326,0.535357414,0.282000253,0.382193727,0.555211537,0.169578845,0.444009192,0.500960991,0.035182945,0.462669357,0.404354053,0.054497213,0.487144655,0.417179606,0.091451957,0.294872402,0.343233151,0.347794306,0.495298887,0.577709453,0.191153026,0.329466722,0.514512705,0.295281376,0.342186368,0.574912444,0.258484332,0.321314192,0.513078045,0.361727937,0.499001881,0.567013515,0.366902673,0.481364909,0.562376574,0.249385321,0.402952988,0.407520377,0.074793518,0.280303528,0.386977081,0.080563453,0.371604108,0.323726876,0.242062395,0.44756152,0.437757471,0.294060235,0.354508354,0.534307796,0.213314507,0.26818093,0.442464651,0.249550787,0.365575021,0.487182778,0.224682953,0.383681692,0.459870962,0.189616403,0.234004113,0.299375359,0.118890435,0.293442567,0.331935681
