,Germplasm,Rep,Row,Range,Plot,yld1,yld2,yld3,tot22,GNDVI_131,NDRE_131,NDVI_131,GNDVI_145,NDRE_145,NDVI_145,GNDVI_154,NDRE_154,NDVI_154,GNDVI_159,NDRE_159,NDVI_159,GNDVI_162,NDRE_162,NDVI_162,GNDVI_164,NDRE_164,NDVI_164,GNDVI_175,NDRE_175,NDVI_175,GNDVI_178,NDRE_178,NDVI_178,GNDVI_181,NDRE_181,NDVI_181,GNDVI_187,NDRE_187,NDVI_187,GNDVI_189,NDRE_189,NDVI_189,GNDVI_192,NDRE_192,NDVI_192,GNDVI_201,NDRE_201,NDVI_201,GNDVI_203,NDRE_203,NDVI_203,GNDVI_210,NDRE_210,NDVI_210,GNDVI_215,NDRE_215,NDVI_215,GNDVI_223,NDRE_223,NDVI_223,GNDVI_236,NDRE_236,NDVI_236,GNDVI_238,NDRE_238,NDVI_238,GNDVI_243,NDRE_243,NDVI_243,GNDVI_259,NDRE_259,NDVI_259,GNDVI_263,NDRE_263,NDVI_263
11,N-R-GEE,1,1,26,123,1.83,0.68,0.53,3.03,0.260818637,0.320927458,0.533728116,0.259754489,0.404941984,0.533321898,0.203714634,0.500372756,0.522223972,-0.053311661,0.31519922,0.531179629,0.036518271,0.397462851,0.342336579,0.032784006,0.256880428,0.23070542,0.320017671,0.354333993,0.561417091,0.213155518,0.279320247,0.554140102,0.317933748,0.354353234,0.587897902,0.194778577,0.368105601,0.487309316,0.308692132,0.453845581,0.493505966,0.323471854,0.46640668,0.51814903,0.158221664,0.329942088,0.35526501,0.103148257,0.304754409,0.37986881,0.07038933,0.35614856,0.349005762,0.174536289,0.448666456,0.415409927,0.284564845,0.290006193,0.499435616,0.169826124,0.270400653,0.427213463,0.186050862,0.300467787,0.454275274,0.185641263,0.377833471,0.47704696,0.190752675,0.268543562,0.386493993,0.118071383,0.335019201,0.318368953
12,SW4602Z,1,1,25,124,1.84,0.67,0.51,3.01,0.273338456,0.280659568,0.5387762,0.295985666,0.469825458,0.545514243,0.190797168,0.494120191,0.507911995,-0.046573081,0.292524588,0.520247399,0.034633919,0.38757292,0.362656798,0.029504408,0.259283485,0.235877912,0.308948411,0.406252755,0.558921936,0.194269098,0.331202605,0.52478813,0.286370748,0.376674487,0.548322155,0.185076499,0.384213661,0.473770987,0.292886771,0.442254159,0.477474803,0.281354417,0.462074513,0.473111382,0.127903737,0.345494911,0.355722808,0.076478528,0.334641584,0.377329449,0.041086313,0.375150492,0.362797767,0.135330804,0.442351868,0.414037792,0.271074324,0.317582879,0.497052089,0.161052244,0.274667136,0.413210942,0.176220723,0.313130853,0.431280535,0.210780419,0.405770418,0.48737167,0.202616348,0.268595112,0.370910528,0.142493449,0.297697944,0.337369699
13,ONEIDA_VR,1,1,24,125,1.96,0.47,0.58,3.02,0.222919029,0.363055791,0.492355842,0.247066355,0.357958221,0.525930976,0.17734982,0.46705294,0.523544042,-0.050936352,0.35887645,0.531582019,0.010476735,0.457827126,0.412407167,0.003360329,0.269048013,0.249167149,0.270300746,0.303157339,0.524026809,0.153433904,0.231476332,0.481562306,0.256192318,0.306232579,0.526520244,0.145155802,0.277757366,0.446937555,0.2592749,0.371345495,0.452395728,0.257785084,0.367926304,0.455221292,0.11319709,0.299739938,0.371706533,0.048549665,0.40642022,0.397162867,0.031957348,0.392687282,0.369189255,0.149098264,0.445154674,0.428197818,0.264247318,0.27252306,0.48841635,0.145814096,0.264960624,0.412774842,0.16961136,0.256505737,0.448820015,0.202246877,0.388603222,0.499267104,0.192431392,0.278255984,0.403845122,0.158078454,0.324321053,0.396886085
14,REGEN,1,1,23,126,2.04,NA,0.56,NA,0.217088827,0.352189472,0.48614991,0.254124592,0.368360552,0.545078616,0.177049342,0.445147019,0.527917879,-0.028784345,0.395438053,0.504246182,0.017862589,0.461127079,0.414491813,0.014081396,0.269937017,0.250426244,0.283101628,0.3378666,0.547302874,0.159796742,0.251690006,0.506944828,0.265640186,0.313442191,0.556125712,0.164318122,0.31411201,0.481603578,0.276517619,0.425798164,0.478596111,0.281650995,0.422442262,0.493261387,0.145678147,0.318311434,0.365254995,0.061202344,0.371503056,0.393158255,0.048734036,0.402797919,0.340949298,0.165170876,0.454523207,0.433413903,0.28357551,0.28915059,0.521955513,0.161575489,0.246124832,0.43399576,0.191212048,0.290863127,0.467410109,0.20045278,0.386631361,0.477767922,0.175900296,0.231744678,0.368005258,0.143884957,0.306704424,0.393116173
15,NY2003,1,1,22,127,1.6,NA,0.42,NA,0.254918044,0.298750091,0.507776577,0.24457468,0.375868612,0.52751427,0.167004862,0.409721069,0.509060318,-0.018168577,0.375862001,0.469925547,0.018917502,0.431025331,0.373605052,0.010433427,0.263845889,0.249134941,0.25278297,0.316807452,0.502232859,0.133414003,0.260130483,0.457780868,0.247855973,0.306371722,0.5201563,0.142915664,0.297925178,0.446464359,0.261321564,0.404285515,0.451884598,0.26902738,0.392172458,0.462367155,0.13137657,0.333500259,0.3500144,0.046412002,0.395498549,0.371573102,0.045549314,0.425382332,0.357266783,0.145335122,0.44942406,0.418416662,0.265719479,0.295984683,0.484660633,0.137545943,0.242194857,0.388301006,0.165377486,0.28072318,0.421843916,0.175115562,0.351922557,0.423615093,0.152081249,0.195282203,0.315372105,0.117363837,0.281265642,0.34987065
16,NY0651,1,1,21,128,1.79,NA,0.43,NA,0.239291057,0.30855827,0.524245014,0.232043652,0.336081206,0.545857909,0.168735082,0.358841976,0.516628342,-0.012569683,0.368443702,0.441375504,0.032141233,0.395598654,0.329795411,0.041889469,0.270679994,0.235003798,0.274077094,0.304567962,0.540018539,0.125053444,0.262300602,0.488139413,0.243519711,0.292441841,0.528944357,0.126536089,0.246050939,0.446058751,0.229041161,0.359877749,0.44308159,0.239176736,0.345024146,0.451257858,0.097395446,0.326638883,0.328388668,0.059193982,0.379509062,0.380591944,0.06646968,0.398969945,0.359062705,0.168998183,0.443994811,0.430288072,0.283725885,0.298752504,0.518815228,0.147977932,0.235111167,0.423791245,0.168984769,0.27844493,0.441164043,0.171010088,0.307777248,0.448804398,0.15696273,0.204334837,0.349533277,0.12061188,0.304760567,0.350647262
17,NY1517,1,1,20,129,2.25,NA,0.56,NA,0.268836434,0.262943025,0.52875739,0.248456475,0.362039929,0.532887532,0.179670241,0.396911407,0.531449835,-0.020876438,0.423451633,0.480271016,0.003456562,0.453859797,0.412446419,0.007386018,0.270047722,0.253998561,0.251637868,0.312040048,0.503713261,0.122043158,0.257900218,0.4633172,0.243826391,0.300938773,0.512930286,0.131626065,0.268784475,0.434944134,0.236427836,0.377386101,0.443566117,0.245100526,0.360386692,0.453512506,0.105596107,0.33842174,0.355679181,0.075339135,0.358714514,0.398842101,0.032207113,0.453603292,0.376327041,0.166598902,0.448961764,0.42616194,0.258135006,0.297640139,0.488685873,0.143416091,0.215295912,0.404713727,0.178088226,0.282441431,0.443116246,0.18164688,0.311872686,0.457293678,0.173100644,0.242034408,0.354330541,0.141413679,0.322107877,0.371165479
18,SEEDWAY_9558,1,1,19,130,2.04,NA,0.58,NA,0.228408933,0.308749833,0.494690839,0.239980699,0.340944453,0.539344908,0.167959637,0.388226866,0.513347169,-0.020960947,0.408788788,0.492822709,0.006512189,0.429780104,0.408274329,0.008702133,0.255583075,0.243411452,0.264693186,0.31171852,0.513822847,0.11382901,0.265912473,0.4701882,0.233034676,0.297057384,0.504608467,0.140341811,0.291368073,0.446633107,0.263441484,0.422366103,0.457635336,0.252924268,0.388284382,0.457089448,0.128220557,0.342562017,0.359417669,0.073344853,0.343343582,0.396198187,0.044756781,0.432910777,0.390291196,0.176533585,0.438905088,0.432680121,0.280822688,0.319806689,0.508610189,0.14853058,0.235421778,0.425206507,0.203268444,0.312327333,0.472773468,0.189121835,0.347477564,0.460595595,0.175600809,0.230009223,0.363815606,0.136706513,0.312301513,0.356876315
19,ALFABAR,1,1,18,131,1.82,0.55,0.46,2.82,0.232122197,0.321702488,0.498033589,0.229249538,0.344365784,0.534139052,0.151672546,0.375205699,0.509319212,-0.012586108,0.406125062,0.492692705,0.019466206,0.377630061,0.348805984,0.015586543,0.25798416,0.244567291,0.25303354,0.304648352,0.490860409,0.113033838,0.254847121,0.453242854,0.21121279,0.280761813,0.476121682,0.106966993,0.24844109,0.411031808,0.203923709,0.392125728,0.391368468,0.201420696,0.348542652,0.404257437,0.080019068,0.335873206,0.34550217,0.055870827,0.36576123,0.383480635,0.053680586,0.435361947,0.377200687,0.159754799,0.450385983,0.428788018,0.262486828,0.314498949,0.484146277,0.118355668,0.240511538,0.388294927,0.178468218,0.269561648,0.433468153,0.160116815,0.340207206,0.420959946,0.161270941,0.195778166,0.343663995,0.10274469,0.280663506,0.336775587
20,SW4107,1,1,17,132,1.62,0.5,0.41,2.54,0.228668762,0.303107402,0.503375399,0.228500396,0.333750595,0.545359918,0.129104223,0.363473117,0.504825151,-0.013465776,0.405764269,0.495496389,0.022260348,0.34397555,0.330865261,0.024933654,0.250381076,0.234116669,0.267312031,0.307629593,0.51670097,0.127072245,0.252343719,0.464643023,0.199241791,0.274612353,0.473312919,0.104524896,0.234581531,0.386464705,0.201697289,0.359160923,0.386100318,0.188074505,0.344498521,0.38631826,0.054344769,0.337163297,0.325404871,0.044457193,0.366148992,0.385673621,0.075830505,0.421464251,0.405696085,0.183734226,0.446352624,0.441058519,0.26810011,0.32275384,0.49586199,0.122000709,0.217204446,0.383634464,0.168778343,0.270782659,0.400864273,0.148113632,0.310092037,0.402676906,0.163067797,0.199368537,0.340272342,0.103267997,0.288825597,0.353638931
