Time,h2_ndvi,h2_ndvi_spa,h2_gndvi,h2_gndvi_spa,h2_ndre,h2_ndre_spa
133,0.38,0.8,0.31,0.79,0.18,0.98
159,0.35,0.52,0.36,0.86,0.09,0.3
164,0.08,0.34,0,0.56,0.17,0.34
168,0.14,0.3,0.28,0.99,0.15,0.59
171,0.39,0.87,0.62,0.99,0,0.99
175,0.78,0.94,0.66,0.99,0.06,0.99
178,0.8,0.88,0.73,0.99,0,0
181,0.62,0.93,0.59,0.99,0.36,0.67
187,0.31,0.96,0.67,0.98,0.49,0.55
189,0.22,0.97,0.44,0.99,0.65,0.94
192,0,0,0.07,0,0.02,0.14
194,0.18,0.97,0.38,0.99,0.37,0.99
196,0.06,0.97,0.18,0.99,0.41,0.78
207,0.41,0.46,0.23,0.55,0.35,0.39
223,0.5,0.98,0.76,0.99,0.8,0.96
231,0.23,0.86,0.41,0.99,0.67,0.79
236,0.28,0.54,0.36,0.94,0.17,0.34
238,0.03,0.99,0.23,0.99,0.2,0.97
243,0.35,0.52,0.36,0.59,0.29,0.36
245,0.16,0.26,0.53,0.53,0.22,0.44
252,0.21,0.34,0.29,0.35,0.18,0.26
258,0.43,0.68,0.23,0.65,0.52,0.61
259,0.17,0.31,0.24,0.48,0.06,0.09
