Trait,Genetic,Spatial
yld1-131,0.69,0.6
yld1-145,0.66,0.34
yld1-154,0.8,0.55
yld2-159,0.62,-0.04
yld2-162,0.65,-0.12
yld2-164,0.64,0.16
yld2-175,0.8,0.26
yld2-178,0.75,0.38
yld2-181,0.77,0.34
yld2-187,0.85,0.49
yld2-189,0.78,0.6
yld2-192,0.65,0.68
yld2-201,0.68,0.6
yld3-236,0.28,0.51
yld3-238,0.31,0.57
yld3-243,0.44,0.62
yld3-259,0.38,0.55
yld3-263,0.29,0.6
