"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","GNDVI_131","NDVI_131","GNDVI_145","NDVI_145","GNDVI_154","NDVI_154","GNDVI_162","NDVI_162","GNDVI_164","NDVI_164","GNDVI_175","NDVI_175","GNDVI_178","NDVI_178","GNDVI_181","NDVI_181","GNDVI_187","NDVI_187","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_210","NDVI_210","GNDVI_215","NDVI_215","GNDVI_223","NDVI_223","GNDVI_236","NDVI_236","GNDVI_238","NDVI_238","GNDVI_243","NDVI_243","GNDVI_259","NDVI_259","GNDVI_263","NDVI_263"
"NY1614","4","4","8","441",1.86,0.81,0.62,3.29,0.220628708085985,0.263128981665121,0.121759890565626,0.287048168923715,0.535429695085289,0.319279310039058,0.557562893,0.206374960753695,0.502563331902104,-0.014566871536896,0.449706028670634,-0.0023345161671953,0.371108359133127,0.211692370634842,0.49117908915703,0.21526574179331,0.484357125503876,0.266438649023497,0.540482152590111,0.246308678938521,0.520273004,0.230539792913407,0.399946621116686,0.211620739774734,0.347683304061586,0.0508618073800511,0.360147641650661,0.179866656934727,0.42709433500176,0.224675609101893,0.476447659709045,0.188807175385213,0.459785033080184,0.219045488529855,0.479843137254902,0.175669498662442,0.445050695,0.204278787047975,0.385393138478667,0.110568224736817,0.315619512857046
"SEEDWAY_9558_SBR","4","4","7","442",1.93,0.91,0.58,3.42,0.228931939035458,0.295614041129951,0.11390441375494,0.305250902681511,0.542825812773699,0.332580597118006,0.554413878759051,0.21380483233279,0.519098779075269,-0.011587640115068,0.458369817331903,-5.93524606882291e-05,0.389108007350747,0.248184207988575,0.51541368149824,0.241280643813545,0.502455992621998,0.299174230846712,0.557703450377055,0.280291192090455,0.542473884953779,0.300335625205088,0.473896260756892,0.26542477074575,0.384604279359772,0.0441827971435596,0.36852980858724,0.193688846091461,0.432491134836753,0.234645327194615,0.462620964334009,0.17184892679309,0.445080959969431,0.20876291560678,0.46460596,0.18309017486198,0.430510973,0.20875317021622,0.385663095876015,0.112839820706733,0.317811791844766
"GUARDSMAN_II","4","4","6","443",1.71,1.02,0.63,3.36,0.202836070337116,0.331347606541264,0.123723759768297,0.244838789090651,0.489991600983551,0.312516351826508,0.556212673748745,0.224594383382939,0.521107612550292,-0.00795731023266445,0.442844492283968,0.000738448197258203,0.376183120140178,0.221517542724148,0.484992327593431,0.235440519733449,0.490949563994971,0.292195090597705,0.559181625391583,0.290372893873734,0.5399076606339,0.329699228060931,0.512596997804139,0.29687951769852,0.425137631688332,0.0761108095749493,0.360585060713848,0.22636639170897,0.446464665517332,0.255984683126885,0.498505509,0.199198533434121,0.474035927207674,0.224873745311825,0.486526198187341,0.204620633692978,0.458211120064464,0.225681606912579,0.411208127050783,0.133629324256519,0.329306761550347
"FSG_421LH","4","4","5","444",1.83,0.96,0.69,3.48,0.217070180536212,0.311856570862366,0.135506974984326,0.289051104800803,0.523191462481664,0.349646070347615,0.583623751387347,0.258983614388641,0.530641031757391,-0.000385517857564209,0.408449878081566,0.00245996429590643,0.318795634362198,0.28440875010121,0.539923424991298,0.274740386931795,0.514211499588408,0.334715113914617,0.573205812787557,0.327327513326851,0.555156206702998,0.334852508617008,0.482017282198456,0.305106863777494,0.435399506907228,0.0794529784838851,0.352358704360494,0.22222791777705,0.435805615506676,0.25129047844309,0.470535789584651,0.192924980762947,0.451343903948561,0.236032521052025,0.487912528647823,0.21251352320174,0.447514911847092,0.2525363684312,0.410828707761223,0.146836297715825,0.309711839785859
"NY0651","4","4","4","445",1.55,0.86,0.66,3.07,0.183857256738321,0.279371511397536,0.129615367376311,0.26715405822119,0.503483533537757,0.32510243081506,0.584719227,0.248714957819345,0.525837825803476,-0.0132293626633624,0.421220136877021,0.000428898077472591,0.322331781453152,0.229100589312993,0.499371150703871,0.253064139736466,0.516187143689426,0.306969235581725,0.557056569,0.294909594511225,0.54537543,0.311888040274119,0.471126210706339,0.307221425568886,0.433175940296306,0.117578751751375,0.363937833197795,0.2354895154016,0.444689241599583,0.263021390389187,0.509426370224814,0.218308033990429,0.485238465357354,0.250486848304015,0.523153699,0.211310498453961,0.482026015885806,0.243585743665397,0.438078261607673,0.143397047380454,0.355070890731431
"SW5210","4","4","3","446",1.95,0.96,0.78,3.68,0.231304290735307,0.311856570862366,0.153181797808368,0.341766455303426,0.567034211369788,0.35913737902055,0.567435124993394,0.268475073198592,0.521819251626036,-0.0305724923465043,0.431061974,0.0119861585643816,0.325095958342421,0.289342449512643,0.557850091,0.289537246139104,0.533892462313928,0.341439843088508,0.563787651029554,0.322458156627951,0.551042562211501,0.321636003713798,0.461251849944632,0.305487176016953,0.410216936120551,0.105792834941987,0.366545335170742,0.222952646292418,0.436826074515828,0.273218646397895,0.497062878,0.247089522393089,0.484667758001554,0.270364872481677,0.522312143807587,0.227643476089357,0.468045958109271,0.266069806556479,0.44662670422324,0.160993674469464,0.355845172671145
"SW3407","4","4","2","447",2.04,1.03,0.82,3.89,0.241979873384629,0.334596112487747,0.161037274619054,0.344451467321613,0.574313936478465,0.367141475459832,0.583425955287775,0.310175339569793,0.520836315061304,-0.0361450458067336,0.436872440235584,0.0151496626134241,0.321627419707915,0.284201359007447,0.543148514747779,0.302338352448793,0.548023058615964,0.362030806050199,0.575789806992041,0.322681879141324,0.543365669538525,0.336895523396518,0.468965517241379,0.314076265977357,0.411274571978407,0.107933317437432,0.374910504970894,0.239229390605826,0.428814320761385,0.272157065133385,0.498715876436782,0.261407341778087,0.493255000383559,0.283657720606667,0.532386045327222,0.23401613285066,0.479036634261548,0.249140806591549,0.434850333515075,0.14548567907363,0.337460207612457
"55V50","4","4","1","448",2.17,0.97,0.86,4,0.25740015943365,0.315105076808849,0.168892751429739,0.310493720662778,0.5439213107529,0.359547155952691,0.582528275461128,0.331535153706653,0.502713133915367,-0.0455870527194418,0.450246938879102,-0.00894094807074187,0.336436467,0.2648329499495,0.530869652882521,0.277656696814674,0.538878392689928,0.352326356213943,0.561609383170934,0.311164603651054,0.536869343342473,0.306542360947904,0.447530650992115,0.296571412772545,0.392029758046767,0.0953141076376836,0.37131502177714,0.219993363670029,0.42420833405226,0.259157430932562,0.479618384988404,0.24838169964807,0.484829866101604,0.288041153039396,0.52597286,0.242212936552953,0.465352826061932,0.243879596348952,0.434938513129932,0.133959300164286,0.329320035280548
